question,answer1,answer2,answer3,answer4,answer5,answer6,correct_answer
"An instance of AEM has been upgraded to version 6.5. With that upgrade, which testing framework is being recommended as the testing framework for that version and beyond?","Selenium automation","Bobcat.js","Mocha,js","React.js","","","d"
"A custom AEM application contains Bundle A and Bundle B. Bundle A has a dependency to Bundle B via Import-Package. How can both bundles be deployed most efficiently across all environments?","Use the Felix Web Console to upload the bundles in the correct order","Create one content package per bundle and use a package dependency to ensure installation order","Embed both bundles in one content package and use property 'installationOrder' in package properties for correct bundle installation order","Embed both bundles in one content package: the dependency via Import-Package is enough to ensure correct installation","","","d"
"A new AEM developer is trying to display a page heading and needs to know the proper syntax for accessing the property of a variable as there this method will be used to ultimately display several page elements. Which two code examples show the correct syntax for accessing a property of a variable in AEM? (Choose two.)","${page['heading']}","${page.heading}","${page{'heading'}}","${page[heading]}","","","b"
"From which AEM Web Console should a developer access and download full AEM Log Files?","Web Console -> System Information","AEM -> Log files","Status -> Log files","OSGI -> Sing Log Service","","","d"
"A developer is viewing this JSON code for a text component in AEM: { ""text"" : ""<p>Sample text</p>"" , ""richText"" : true , ""type"" : ""core/wcm/components/text/v2/text"" } Which property value is used to map a SPA component to an AEM component?","richText",":spa",":type","Text","","","c"
"Which log file we must check for the response for each request together related to AEM instance?","Stout log","Debug log","Request Log","","","","c"
"A developer has built a SPA in React and needs to get it ready for a migration to AEM. Which tasks does the developer need to perform to get the SPA ready for the migration? (Choose three.)","Use the AEM SDK containers to place components on the screen","Create an AEM component for each JS component","Make their JS components modular","Agree on components and their JSON model","Implement each component's render() method","","c"
"The structure section of an editable template has a locked component. What happens to the content of that component when a developer unlocks it?","The content is copied to the initial section of the editable template.","The content is deleted after confirmation from the template author.","The content is moved to the initial section of the editable template","The content stays in the same place but it ignored on pages using the template","","","c"
"A developer creates Editable Templates based on a custom Page component. The developer wants to leverage the Style System within the Editable Templates to allow authors to switch between the Dark and Light Theme. The Style System dialog is NOT enabled for the site. What should the developer do to resolve this issue?","Create two new client libraries with a dark and light theme and map them to the Page component.","Set the sling:resourceSuperType property to core/wcm/components/page/v2/page on the Page component.","Create a new dialog for the custom Page components","Define Style Definitions using Page Policy dialog on Editable Template","","","a"
"Frontend developer working on an aem SPA is not able to see property that should be exposed in component added to page. Which option would give information if required property is exposed by sling model?","[homepage-path]/sling.json","[homepage-path]/sling-model.json","[homepage-path]/model.json","","","","c"
"An AEM administrator navigates to the Reports area in an AEM instance. The administrator wants to know how long it is taking people to reach the AEM or Dispatcher port and wants to be able to do so for both Author and Publish instances. In the System Monitoring area of AEM, which metric represents the response time to access the AEM or Dispatcher port?","Port Bandwidth","Port Speed","Replication Agent","CQ Port Check","","","d"
"Users have requested on an AEM-based website to have the ability to sign in to the site using their social media accounts. Which authentication handler must be enabled to accomplish this task?","Adobe Granite SSO Authentication Handler","Adobe Granite OAuth Authentication Handler","AEM Communities Social OAuth Provider","AEM Platform Authentication Hander","","","b"
"A business wants to save time when doing an in-place upgrade of an AEM instance. To meet this requirement, when should Oak indexes be reindexed in relation to the upgrade itself?","Before","During","After","The indexes should be rebuilt instead of upgraded","","","a"
"An AEM developer wants to build a Generic Snippet to create a new service. Which word goes in the missing parts of the code block to complete this action? ( function () { var ga = document . createElement ( ""_____"" ); ga . type = 'text/javascript' ; ga . async = true ; ga . src = ( 'https:' == document . location . protocol ? 'https://ssl' : 'https://www' ) + '.google-analytics.com/ga.s' ; var s = document . getElementsByTagName ( '____' )[ 0 ]; s . parentNode . insertBefore ( ga , s ); })();","head","meta","element","script","","","d"
"An AEM developer is attempting to configure the component edit bar and wants to add a button to edit a component and allow annotations to the component. The developer does not have a custom button built for this purpose and wants one button to do both the editing and the annotating of the component and its contents. Indicate the correct word or phrase for the missing code piece to complete this task. <jcr:root xmins:cq = ""https://www.day.com/jcr/cq/1.0"" xmins:jcr = ""https://www.jcp.org/jcr/1.0"" cq:actions = ""[ insert,delete]"" cq:layout = ""editbar"" jcr:primaryType = ""cq:EditConfig"" />","edit","editannoate","annotate","edit, annotate","","","b"
"When using a hybrid implementation, which format does the Sling Model Exporter support for rendering Experience Manager content, using custom business logic?","HTL","JSP","JSON","HTML","","","c"
"A folder was created as a configuration folder for the authoring environment within an instance of AEM. How should this folder be named?","config.authoring","config","config.author","author.config","","","c"
"Which log file contains AEM application request and response entries?","response.log","history.log","request.log","audit.log","","","c"
"A team developing components and templates for multiple authoring groups wants to make sure authors from one brand do not see components and template from a different brand. Which two sets of properties should be utilized for ensuring authors only see templates in their respective brands? (Choose two.)","allowedPaths","componentGroup","vanityURL","templateGroup","","","b"
"Two development teams are using versions 2.0 and 2.1 of a project library, the latter being a recent upgrade to 2.1. One of the development teams notices the project is now not functioning. What is the best solution for this problem?","Make the APIs match in each version of a project","Break the dependencies between the two projects","Make the projects children of one parent project","Declare dependencies across projects","","","c"
"An AEM Developer is creating a custom component and wants to sort a list of images within the component. The developer also wants to sort list of values later using the same keyword. Which missing word will finish the code block necessary to perform this task? The same word goes in both empty slots. public class ImageList implements Image { @ValueMapValue private List < String > images ; @Override public List < String > getlmages () { if ( images != null ) { ______ . sort ( images ); return new ArrayList < String > ( images ); } else { return _______ . emptyList (); } } }","ArrayList","Array","Collections","Sort","","","c"
"Which two approaches for deploying AEM create an active-active cluster for the AEM author environment? (Choose two.)","Oak Cluster with MongoMkK Failover for High Availability in a Single Datacenter","TarMK Farm","TarMK Cold Standby","Oak Cluster with MongoMK Failover Across Multiple Datacenters","","","d"
"An AEM developer wants to display a title using HTL if the title exists. The developer may want to add code later to display an element if here are no child pages or base an element display on the existence of a property. The developer needs to know what the missing element is in this code, which can be used to satisfy any of the aforementioned conditions, this one to display a title using HTL if the title exists: <h1 ___________ = ""${properties.jcr:title}"" > ${properties.jcr:title} </h1>","data-sly","if-exists","data-sly-test","if-present","","","c"
"An AEM developer in the process of creating a custom component. The Developer needs to know which interface to implement for the Sling Model to automatically be recognized by the JSON model API. Indicate which interface is needed in the missing code to complete this code. public interface CustomComponent extends { public String getMessage (); }","ExporterType","Exporter","ComponentControl","ComponentExporter","","","d"
"An AEM developer is in the process of creating a custom component to display information on images within an app called snow, specifically name, size, and date taken. A folder has been created in the ui.apps module under /apps/snow/components. The folder is named custom-component. Which file needs to be created to hold the component definition?",".content.xml",".images.xml",".snow.xml",".definition.xml","","","a"
"An AEM developer wants to allow non-developers to work with pipelines within AEM as a Cloud Service. The developer wants to use an existing environment type and the environment can only involve non-production pipelines. Which AEM Environment type is associated strictly with non-production pipelines within AEM as a Cloud Service?","Development","Stage","Production","Testing","","","a"
"An AEM developer wants to create a Content Fragment Model. The option to do so is not available. The developer wants to make sure the model stays local to the project. What does the developer need to do to have the option to create a Content Fragment model?","Define the structure of a Content Fragment Model","Add an instance of the ContentFragmentModels class","Enable Content Fragment Models through the Configuration Browser","Extend the ContentFragmentModels class","","","c"
"An AEM Developer has created a custom component and wants to start using it on a page within a local AEM instance. The developer currently has no means by which to add the component to the page or any other page within the instance. What does the developer need to run to deploy the code to the instance?","$mvn update install -PautolnstallSinglePackage","$mvn clean install -PautolnstallSinglePackage","$mvn install -PautolnstallSinglePackage","$mvn update -PautolnstallSinglePackage","","","b"
"A new AEM developer wants to create a workflow model programmatically. The developer wants to create a folder called workflowdrafts in the correct folder within AEM. What does the complete path to the model look like?","/var/packages/workflow/models/workflowdrafts","/var/workflow/workflowdrafts","/var/models/workflowdrafts","/var/workflow/models/workflowdrafts","","","d"
"An AEM developer wants to load CSS files of a client library into a webpage. The developer has completed most of the code but does not know what to put in the missing space. Which code should fill the missing space in this code example? <head> <!-- HTML meta-data --> <sly _______ = ""${clientlib.css @ categories='myCategory'}"" /> </head>","data-sly-call","data-sly","data-sly-get","data-sly-use","","","a"
"An app needs a workflow to trigger another workflow. Which type of workflow step, when run, starts another workflow model?","Join","Process","Split","Container","","","d"
"An instance of AEM is running CRX2 and will require a migration to Oak (CRX3) when upgrading directly to AEM 6.5. Which version of AEM is running?","5.6","6.2","6.0","6.1","","","c"
"What needs to be run to produce the clientlib-site and clientlib-dependencies client libraries into the ui.apps back-end module?","npm run dev","mvn run dev","mvn clean install -PautolnstallPackage","npm clean install - PautolnstallPackage","","","a"
"Within the AEM Project Archetype, developer is looking for add browser plug-ins within the main folder of the project. The developer also wants to add Ul-based plugins and knows there is a file with plugin sections to where plugin configurations can be defined. Which file is that?","Parent POM","plugins.xml","ui.apps/pom.xml","filter.xml","","","a"
"A new developer changes a workflow after it has been run for the first time. However, upon testing the workflow, the changes are not reflected when the workflow runs. What is the most likely cause of this problem?","The workflow needs to be debugged first","A new version of the runtime version was not saved","The runtime version of the workflow was not updated","The Sync was not triggered in the workflow model","","","d"
"For a default installation of AEM, on which port does the Author instance run?","8080","4503","4502","80","","","c"
"A developer wants to use the AEM Project Archetype as the developer as the developer is working on a minimal, best-practice based AEM project. The archetype is based off which type of template?","Gradle","React.js","Angular.js","Maven","","","d"
"A new AEM administrator needs to learn the URL for the Configuration tab of the Web Console for an AEM instance on a local server. Which path should the administrator use to get to the console?","//localhost:4502/webConsole/configMgr","//localhost:4502/console/configMgr","//localhost:4502/system/console/configMgr","//localhost:4502/system/webConsole/configMgr","","","c"
"A developer is in the Environments area of an AEM instance and can access the Developer Console for all versions of the instance. A user wants to run some tests within a Developer Console. The company has a strict policy against allowing non-developers to be in the Developer Console within a production, stage, or development environment. What should be set up to allow the user to use the Developer Console?","Make the user an administrator","Ensure the user has access to the Cloud Manager Sandbox Program","Set up a new test AEM environment","Set up a test sandbox instance","","","b"
"A developer wants to add a list of IP addresses to be allowed in the Author version of an app. The developer navigates to the Environments screen but does not have access to the IP Allow Lists area. The same problem exists when the developer navigates to the Publish version of the app. Which roles are eligible to add an IP Allow list? (Choose two)","List Manager","Site Administrator","Deployment Manager","Business Owner","","","d"
